,foreigner,national_group,province_resid,age_atmaincrime,priorcrimes_dummy,priorcrimes_number_group,maincrime_cat,maincrime_violent,totalmaincrimes_number,maincrime_year,province_execution,maincrime_program2,maincrime_programduration_group,V28_temps_inici,V29_durada_programa,recid15_dummy,savry,female,foreigner_fem,national_group_fem,national_group_foreign,province_resid_fem,province_resid_foreign,age_atmaincrime_fem,age_atmaincrime_foreign,priorcrimes_dummy_fem,priorcrimes_dummy_foreign,priorcrimes_number_group_fem,priorcrimes_number_group_foreign,maincrime_cat_fem,maincrime_cat_foreign,maincrime_violent_fem,maincrime_violent_foreign,totalmaincrimes_number_fem,totalmaincrimes_number_foreign,maincrime_year_fem,maincrime_year_foreign,province_execution_fem,province_execution_foreign,maincrime_program2_fem,maincrime_program2_foreign,maincrime_programduration_group_fem,maincrime_programduration_group_foreign,V28_temps_inici_fem,V28_temps_inici_foreign,V29_durada_programa_fem,V29_durada_programa_foreign,female_foreign
39,True,Centre i Sud Amèrica,Girona,15.0,1,1.0,Contra les persones,1,4,2008,Girona,Mesures d'execució,1.0,322.0,537,1,True,False,False,Baseline,Centre i Sud Amèrica,Baseline,Girona,0.0,15.0,0,1,0.0,1.0,Baseline,Contra les persones,0,1,0,4,0,2008,Baseline,Girona,Baseline,Mesures d'execució,0.0,1.0,0.0,322.0,0,537,False
40,True,Centre i Sud Amèrica,Barcelona,15.0,1,0.0,Contra les persones,1,1,2009,Barcelona,Mesures d'execució,0.0,144.0,97,1,True,False,False,Baseline,Centre i Sud Amèrica,Baseline,Barcelona,0.0,15.0,0,1,0.0,0.0,Baseline,Contra les persones,0,1,0,1,0,2009,Baseline,Barcelona,Baseline,Mesures d'execució,0.0,0.0,0.0,144.0,0,97,False
41,True,Centre i Sud Amèrica,Barcelona,17.0,1,1.0,Contra les persones,1,4,2007,Barcelona,Mesures d'execució,0.0,841.0,179,1,True,False,False,Baseline,Centre i Sud Amèrica,Baseline,Barcelona,0.0,17.0,0,1,0.0,1.0,Baseline,Contra les persones,0,1,0,4,0,2007,Baseline,Barcelona,Baseline,Mesures d'execució,0.0,0.0,0.0,841.0,0,179,False
42,False,Spain,Barcelona,17.0,1,0.5,Contra les persones,1,2,2008,Barcelona,Mesures d'execució,1.0,466.0,533,1,True,False,False,Baseline,Baseline,Baseline,Baseline,0.0,0.0,0,0,0.0,0.0,Baseline,Baseline,0,0,0,0,0,0,Baseline,Baseline,Baseline,Baseline,0.0,0.0,0.0,0.0,0,0,False
43,True,Magrib,Barcelona,16.0,1,1.0,Contra les persones,1,3,2008,Barcelona,Mesures d'execució,1.0,234.0,731,1,True,False,False,Baseline,Magrib,Baseline,Barcelona,0.0,16.0,0,1,0.0,1.0,Baseline,Contra les persones,0,1,0,3,0,2008,Baseline,Barcelona,Baseline,Mesures d'execució,0.0,1.0,0.0,234.0,0,731,False
44,True,Magrib,Barcelona,17.0,1,0.5,Contra les persones,1,2,2010,Barcelona,ATM,0.0,49.0,28,1,True,False,False,Baseline,Magrib,Baseline,Barcelona,0.0,17.0,0,1,0.0,0.5,Baseline,Contra les persones,0,1,0,2,0,2010,Baseline,Barcelona,Baseline,ATM,0.0,0.0,0.0,49.0,0,28,False
45,True,Magrib,Barcelona,16.0,1,0.0,Contra les persones,1,1,2010,Barcelona,ATM,0.0,33.0,37,1,True,False,False,Baseline,Magrib,Baseline,Barcelona,0.0,16.0,0,1,0.0,0.0,Baseline,Contra les persones,0,1,0,1,0,2010,Baseline,Barcelona,Baseline,ATM,0.0,0.0,0.0,33.0,0,37,False
46,True,Centre i Sud Amèrica,Barcelona,15.0,1,1.0,Contra les persones,1,3,2006,Barcelona,Mesures d'execució,1.0,850.0,543,1,True,False,False,Baseline,Centre i Sud Amèrica,Baseline,Barcelona,0.0,15.0,0,1,0.0,1.0,Baseline,Contra les persones,0,1,0,3,0,2006,Baseline,Barcelona,Baseline,Mesures d'execució,0.0,1.0,0.0,850.0,0,543,False
47,True,Centre i Sud Amèrica,Barcelona,16.0,1,0.5,Contra les persones,1,2,2008,Barcelona,Mesures d'execució,0.5,215.0,335,1,True,False,False,Baseline,Centre i Sud Amèrica,Baseline,Barcelona,0.0,16.0,0,1,0.0,0.5,Baseline,Contra les persones,0,1,0,2,0,2008,Baseline,Barcelona,Baseline,Mesures d'execució,0.0,0.5,0.0,215.0,0,335,False
48,False,Spain,Barcelona,16.0,1,0.0,Contra les persones,1,1,2010,Barcelona,ATM,0.0,26.0,0,1,True,False,False,Baseline,Baseline,Baseline,Baseline,0.0,0.0,0,0,0.0,0.0,Baseline,Baseline,0,0,0,0,0,0,Baseline,Baseline,Baseline,Baseline,0.0,0.0,0.0,0.0,0,0,False
49,True,Centre i Sud Amèrica,Barcelona,17.0,1,0.5,Contra la propietat violent,1,2,2008,Barcelona,Mesures d'execució,0.5,423.0,363,1,True,False,False,Baseline,Centre i Sud Amèrica,Baseline,Barcelona,0.0,17.0,0,1,0.0,0.5,Baseline,Contra la propietat violent,0,1,0,2,0,2008,Baseline,Barcelona,Baseline,Mesures d'execució,0.0,0.5,0.0,423.0,0,363,False
50,True,Magrib,Barcelona,14.0,1,0.5,Contra la propietat violent,1,2,2009,Barcelona,Mesures d'execució,0.0,402.0,122,1,True,False,False,Baseline,Magrib,Baseline,Barcelona,0.0,14.0,0,1,0.0,0.5,Baseline,Contra la propietat violent,0,1,0,2,0,2009,Baseline,Barcelona,Baseline,Mesures d'execució,0.0,0.0,0.0,402.0,0,122,False
51,True,Magrib,Barcelona,14.0,1,0.0,Contra la propietat violent,1,1,2009,Barcelona,Mesures d'execució,0.5,272.0,237,1,True,False,False,Baseline,Magrib,Baseline,Barcelona,0.0,14.0,0,1,0.0,0.0,Baseline,Contra la propietat violent,0,1,0,1,0,2009,Baseline,Barcelona,Baseline,Mesures d'execució,0.0,0.5,0.0,272.0,0,237,False
52,True,Centre i Sud Amèrica,Barcelona,15.0,1,1.0,Contra la propietat violent,1,7,2007,Barcelona,Mesures d'execució,1.0,448.0,740,1,True,False,False,Baseline,Centre i Sud Amèrica,Baseline,Barcelona,0.0,15.0,0,1,0.0,1.0,Baseline,Contra la propietat violent,0,1,0,7,0,2007,Baseline,Barcelona,Baseline,Mesures d'execució,0.0,1.0,0.0,448.0,0,740,False
53,True,Altres,Barcelona,15.0,1,0.0,Contra la propietat violent,1,1,2009,Barcelona,Mesures d'execució,0.5,348.0,268,1,True,False,False,Baseline,Altres,Baseline,Barcelona,0.0,15.0,0,1,0.0,0.0,Baseline,Contra la propietat violent,0,1,0,1,0,2009,Baseline,Barcelona,Baseline,Mesures d'execució,0.0,0.5,0.0,348.0,0,268,False
54,False,Spain,Barcelona,17.0,1,0.5,Contra la propietat violent,1,2,2008,Barcelona,Mesures d'execució,0.0,458.0,148,1,True,False,False,Baseline,Baseline,Baseline,Baseline,0.0,0.0,0,0,0.0,0.0,Baseline,Baseline,0,0,0,0,0,0,Baseline,Baseline,Baseline,Baseline,0.0,0.0,0.0,0.0,0,0,False
