entity_id,score,label_value,race,sex,age_cat
4236,True,False,Espanyol,Home,16 i 17 anys
3069,False,False,Espanyol,Home,16 i 17 anys
2613,False,False,Magrib,Home,16 i 17 anys
2521,False,False,Espanyol,Home,16 i 17 anys
4478,False,False,Europa,Home,16 i 17 anys
3710,False,False,Espanyol,Home,16 i 17 anys
4791,False,False,Espanyol,Dona,14 i 15 anys
4639,False,False,Espanyol,Home,16 i 17 anys
887,False,False,Centre i Sud Amèrica,Dona,16 i 17 anys
2545,False,False,Centre i Sud Amèrica,Dona,16 i 17 anys
2114,False,False,Centre i Sud Amèrica,Home,16 i 17 anys
1621,True,False,Centre i Sud Amèrica,Home,16 i 17 anys
3484,False,False,Espanyol,Home,16 i 17 anys
2003,False,False,Espanyol,Home,16 i 17 anys
2482,False,False,Espanyol,Home,14 i 15 anys
2915,True,False,Magrib,Home,16 i 17 anys
1666,True,False,Centre i Sud Amèrica,Home,16 i 17 anys
2149,True,False,Espanyol,Dona,14 i 15 anys
4647,False,False,Magrib,Home,16 i 17 anys
2400,False,True,Centre i Sud Amèrica,Home,16 i 17 anys
1558,False,False,Europa,Home,16 i 17 anys
1656,True,False,Espanyol,Dona,14 i 15 anys
1809,False,False,Espanyol,Home,16 i 17 anys
2872,True,False,Espanyol,Home,16 i 17 anys
2846,False,False,Espanyol,Home,16 i 17 anys
1039,True,False,Espanyol,Dona,16 i 17 anys
2459,False,False,Europa,Home,16 i 17 anys
1607,True,False,Espanyol,Home,16 i 17 anys
3717,False,False,Magrib,Home,16 i 17 anys
1185,False,False,Centre i Sud Amèrica,Home,14 i 15 anys
2858,True,False,Centre i Sud Amèrica,Home,16 i 17 anys
4118,False,False,Centre i Sud Amèrica,Home,16 i 17 anys
3846,True,False,Centre i Sud Amèrica,Home,14 i 15 anys
4668,False,False,Espanyol,Home,16 i 17 anys
2895,False,False,Espanyol,Home,16 i 17 anys
4055,False,False,Europa,Home,16 i 17 anys
2137,False,False,Centre i Sud Amèrica,Home,16 i 17 anys
4549,False,False,Espanyol,Home,14 i 15 anys
3240,False,False,Espanyol,Home,16 i 17 anys
1194,False,False,Europa,Dona,16 i 17 anys
559,False,True,Espanyol,Dona,14 i 15 anys
563,False,False,Espanyol,Dona,14 i 15 anys
1630,False,False,Espanyol,Home,16 i 17 anys
2450,False,False,Centre i Sud Amèrica,Home,16 i 17 anys
3012,True,False,Espanyol,Dona,16 i 17 anys
4720,False,False,Centre i Sud Amèrica,Home,14 i 15 anys
3571,False,False,Espanyol,Home,14 i 15 anys
394,False,False,Espanyol,Home,16 i 17 anys
477,False,True,Espanyol,Home,16 i 17 anys
873,True,False,Espanyol,Home,14 i 15 anys
1379,False,True,Magrib,Home,14 i 15 anys
2298,True,True,Centre i Sud Amèrica,Home,14 i 15 anys
607,False,False,Espanyol,Home,16 i 17 anys
2689,False,False,Espanyol,Home,16 i 17 anys
4547,False,False,Centre i Sud Amèrica,Home,16 i 17 anys
325,False,False,Espanyol,Home,16 i 17 anys
466,True,False,Espanyol,Home,16 i 17 anys
30,False,False,Espanyol,Home,16 i 17 anys
4086,False,False,Espanyol,Home,16 i 17 anys
594,False,False,Espanyol,Home,16 i 17 anys
837,False,True,Espanyol,Home,16 i 17 anys
4814,False,False,Espanyol,Home,16 i 17 anys
800,False,False,Europa,Dona,16 i 17 anys
1524,False,False,Centre i Sud Amèrica,Home,16 i 17 anys
4759,False,True,Espanyol,Home,16 i 17 anys
2798,True,True,Espanyol,Home,16 i 17 anys
744,False,True,Espanyol,Home,16 i 17 anys
1645,False,False,Espanyol,Home,16 i 17 anys
4233,False,False,Magrib,Home,16 i 17 anys
2565,False,False,Centre i Sud Amèrica,Home,16 i 17 anys
3806,False,False,Espanyol,Home,16 i 17 anys
1759,False,False,Espanyol,Home,14 i 15 anys
3672,False,False,Centre i Sud Amèrica,Home,16 i 17 anys
2666,True,False,Espanyol,Dona,16 i 17 anys
960,False,False,Centre i Sud Amèrica,Dona,16 i 17 anys
2357,False,False,Magrib,Home,16 i 17 anys
1933,False,False,Espanyol,Home,14 i 15 anys
2287,False,False,Magrib,Home,14 i 15 anys
1740,False,False,Espanyol,Home,16 i 17 anys
4792,False,False,Espanyol,Dona,16 i 17 anys
2315,False,False,Europa,Home,16 i 17 anys
547,False,False,Centre i Sud Amèrica,Home,16 i 17 anys
3755,True,False,Espanyol,Home,16 i 17 anys
3030,False,False,Europa,Home,14 i 15 anys
4835,False,False,Espanyol,Dona,16 i 17 anys
608,False,False,Espanyol,Home,16 i 17 anys
1009,False,False,Centre i Sud Amèrica,Home,16 i 17 anys
464,False,False,Centre i Sud Amèrica,Home,14 i 15 anys
4576,True,True,Espanyol,Home,14 i 15 anys
2033,False,False,Centre i Sud Amèrica,Home,16 i 17 anys
2701,False,False,Espanyol,Home,14 i 15 anys
2103,True,False,Espanyol,Home,16 i 17 anys
3357,False,False,Espanyol,Home,14 i 15 anys
3744,False,False,Espanyol,Home,16 i 17 anys
4270,False,True,Espanyol,Home,14 i 15 anys
2004,False,False,Espanyol,Home,16 i 17 anys
714,False,False,Centre i Sud Amèrica,Home,16 i 17 anys
1278,True,False,Espanyol,Home,16 i 17 anys
2184,False,False,Espanyol,Home,16 i 17 anys
4580,False,False,Espanyol,Home,16 i 17 anys
1248,False,False,Espanyol,Home,16 i 17 anys
1997,False,False,Magrib,Home,16 i 17 anys
3167,False,False,Espanyol,Home,16 i 17 anys
4179,False,False,Espanyol,Home,16 i 17 anys
2634,False,False,Centre i Sud Amèrica,Dona,16 i 17 anys
2556,False,False,Espanyol,Home,14 i 15 anys
2435,False,False,Espanyol,Home,16 i 17 anys
1715,False,False,Espanyol,Home,16 i 17 anys
2938,False,False,Espanyol,Home,16 i 17 anys
1183,False,False,Espanyol,Dona,16 i 17 anys
